1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
,,10,Discounted fixed,521.7,,,774651.81
September,,2,Discounted fixed,,,213.43,
,,2,Discounted fixed,,,947.52,
,,4,Discounted fixed,5993.7,,,
,,8,Discounted fixed,6894.21,,,
,,12,Discounted fixed,8461.74,,,794840.51
October,,4,Infrustructure Bond,4776.52,,,
,,8,Infrustructure Bond,5494.16,,,
,,12,Infrustructure Bond,6743.37,,,
,,5,Discounted fixed,,,4680.04,
,,5,Discounted fixed,,,5328.4,801846.12
November,,5,Discounted fixed,14937.8,,,
,,2,Discounted fixed,,,13455.5,
,,2,Discounted fixed,,,9980.05,793348.37
December,,2,Discounted fixed,25202.4,,,
,,7,Discounted fixed,,,2261.63,816289.14
2014,,,,,,,
January,,10,Discounted fixed,15030.15,,,831319.29
February,,15,Discounted fixed,15582.8,,,
,,8,Discounted fixed,,,3318.8,843583.29
March,,2,Discounted fixed,19976.4,,,863559.69
April,,5,Discounted fixed,17511.2,,,
,,2,Discounted fixed,,,6418.09,874652.81
May,,2,Discounted fixed,12267.45,,,
,,,,,,,886920.26
June,,20,Discounted fixed,11423.6,,,
,,5,Discounted fixed,16418.25,,,
,,,,,,,914762.11
July,,7,Discounted fixed,,,8269.85,
,,2,Discounted fixed,7862.7,,,914354.96
August,,5,Discounted fixed,13452.05,,,
,,2,Discounted fixed,,,16312.35,
,,30,Savings and Development Bond,1752.5,,,913247.16
September,,10,Discounted fixed,15587.65,,,
,,30,Savings and Development Bond,4255.75,,,
,,5,Discounted fixed,,,13239.1,919851.46
October,,12,infrastructure Bond,16012.35,,,
,,2,Discounted fixed,,,13764.3,
,,,,,,,922099.51
November,,12,infrastructure Bond,10786.7,,,
,,12,infrastructure Bond,7088.45,,,
,,12,infrastructure Bond,1593.4,,,
,,15,Discounted fixed,12129.8,, -   ,953697.86
December,,15,infrastructure Bond,13172.95,,,
,,2,Discounted fixed,8903.25,,20774,
2015,,,,,,,955000.06
January,,5,Discounted fixed,8222.5,,,
,,20,Discounted fixed,13857.5,,,
,,,,,,,977080.06
February,,10,Discounted fixed,11909.05,,,
,,2,Discounted fixed,23592.15,,20445.8,
,,4,Discounted fixed,,,8482.55,
,,8,Discounted fixed,,,2656.9,
,,,,,,,980996.01
March,,12,infrastructure Bond,26459,,,
,,2,Discounted fixed,,,19960.65,
,,,,,,,987494.36
April,,9,Discounted fixed,,,3060.25,
,,12,infrastructure Bond,24733.2,,,
,,,,,,,1009167.31
May,,2,Discounted fixed,20472.45,,,
,,10,Discounted fixed,5234.35,,,
,,5,Discounted fixed,,,11924.85,1022949.26
June,,5,Discounted fixed,5566.2,,,
,,2,Discounted fixed,7190.9,,,
,,,,,,,1035706.36
July,,5,Discounted fixed,12462,,,
,,,,,,,
,,,,,,,1048168.36
August,,2,Discounted fixed,11555.9,,,
,,2,Discounted fixed,,,17927.4,
,,,,,,,1041796.86
September,,1,Discounted fixed,24260.65,,,
,,4,Discounted fixed,,,19121.18,
,,,,,,,1046936.33
October,,1,Discounted fixed,20482.75,,,
,,,,,,,
,,,,,,,1067419.08
November,,5,Discounted fixed,30673.85,,,
