ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
,,Repo, -   ,, -   ,"311,615.80",
Novemeber,48000,182,"9,533.35",,"11,548.05",,
,,91,"12,268.65",,"8,250.75",,
,,365,"25,940.30",,"9,836.95",,
,,Repo, -   ,, -   ,"329,722.35",
December,60000,182,"9,254.35",,"18,018.90",,
,,91,"7,081.85",,"12,200.80",,
,,365,"17,502.85",,"14,219.50",,
,,Repo,"12,200.00",,"12,748.00","318,574.20",
2015,,182,"14,421.80",,"13,550.85",,
January,48000,91,"8,734.15",,"7,825.90",,
,,365,"15,417.00",,"9,307.20",,
,,Repo,"1,445.00",,"1,445.00","326,463.20",
February,39000,182,"11,140.45",,"7,044.65",,
,,91,"6,154.95",,"12,268.65",,
,,365,"18,259.40",,"7,415.45",,
,,Repo, -   ,, -   ,"335,289.25",
March,40000,182,"24,101.70",,"3,297.90",,
,,91,"10,870.70",,"7,081.85",,
,,365,"31,853.90",,"22,289.45",,
,,Repo,"4,000.00",,"4,000.00","369,446.35",
April,32000,182,"18,938.05",,"7,258.65",,
,,91,"5,729.80",,"8,734.15",,
,,365,"17,582.00",,"21,566.80",,
,,Repo, -   ,, -   ,"374,136.60",
May,32000,182,"2,702.65",,"9,533.35",,
,,91,"5,199.20",,"6,154.95",,
,,365,"6,050.15",,"10,954.20",,
,,Repo, -   ,, -   ,"361,446.10",
June,40000,182,"3,946.70",,"9,254.35",,
,,91,"7,625.25",,"10,870.70",,
,,365,"3,607.25",,"10,402.10",,
,,Repo,-555,, -   ,"345,543.15",
July,37000,182,"4,888.50",,"14,421.80",,
,,91,"7,075.30",,"5,729.80",,
,,365,"1,665.00",,"13,541.40",,
,,Repo,"7,035.00",,"7,035.00","325,478.95",
August,55000,182,"4,365.90",,"16,309.40",,
,,91,"8,512.50",,"5,922.00",,
,,365,"15,631.15",,"18,709.40",,
,,Repo,"10,480.00",,"10,480.00","313,047.70",
September,46000,182,"6,936.35",,"18,932.75",,
,,91,"17,404.15",,"6,902.45",,
,,365,"10,754.20",,"29,095.45",,
,,Repo, -   ,, -   ,"293,211.75",
October,48000,182,"16,660.00",,"18,938.05",,
,,91,"48,103.00",,"7,075.30",,
,,365,"43,911.80",,"27,563.45",,
,,Repo, -   ,, -   ,"348,309.75",
November,76000,182,"29,709.85",,"3,092.80",,
,,91,"31,985.05",,"8,512.50",,
,,365,"34,359.70",,"28,495.70",,
,,Repo,"12,748.00",,"12,748.00","404,263.35",
December,64000,182,"17,039.30",,"3,556.55",,
,,91,"23,187.05",,"17,404.15",,
,,365,"8,843.55",,"14,947.45",,
,,Repo,"1,658.00",,"2,768.00","416,315.10",
2016,,182,"28,732.60",,"4,888.50",,
January,64000,91,"11,775.05",,"48,103.00",,
,,365,"15,910.55",,"15,417.00",,
,,Repo,"1,445.00",,"1,445.00","404,324.80",
February,80000,182,"45,953.30",,"4,365.90",,
,,91,"30,823.85",,"31,985.05",,
,,365,"37,189.25",,"25,730.35",,
,,Repo, -   ,, -   ,"456,209.90",
March,64000,182,"25,469.55",,"6,936.35",,
,,91,"20,186.05",,"23,187.05",,
,,365,"51,039.30",,"24,382.95",,
,,Repo,"4,000.00",,"4,000.00","498,398.45",
April,64000,182,"27,020.25",,"16,660.00",,
,,91,"25,522.15",,"11,775.05",,
,,365,"28,479.65",,"17,582.00",,
,,Repo, -   ,, -   ,"533,403.45",
May,80000,182,"34,143.55",,"29,709.85",,
,,91,"36,814.90",,"30,823.85",,
,,365,"42,728.85",,"7,142.15",,
,,Repo, -   ,, -   ,"579,414.90",
June,64000,182,"30,521.30",,"17,039.30",,
,,91,"19,446.60",,"20,186.05",,
,,365,"23,950.50",,"2,515.25",,
,,Repo,-555,, -   ,"613,037.70",
July,64000,182,"21,446.90",,"28,732.60",,
,,91,"10,481.60",,"25,522.15",,
,,365,"13,659.30",,"1,665.00",,
,,Repo,"7,035.00",,"7,035.00","602,705.75",
August,80000,182,"42,253.70",,"45,953.30",,
,,91,"29,538.20",,"36,814.90",,
,,365,"29,868.55",,"15,631.15",,
,,Repo,"10,480.00",,"10,480.00","605,966.85",
September,64000,182,"29,600.60",,"25,469.55",,
,,91,"19,862.90",,"19,446.60",,
,,365,"43,437.00",,"10,754.20",,
,,Repo, -   ,, -   ,"643,197.00",
October,80000,182,"45,971.05",,"36,540.35",,
,,91,"20,703.75",,"13,195.95",,
,,365,"33,960.80",,"52,441.15",,
,,Repo, -   ,, -   ,"641,655.15",
November,64000,182,"31,030.65",,"24,623.45",,
,,91,"16,075.85",,"26,823.85",,
,,365,"33,469.45",,"25,830.35",,
,,Repo,"12,748.00",,"12,748.00","644,953.45",
Dercember,64000,182,"30,767.70",,"30,521.30",,
,,91,"14,295.90",,"19,862.90",,
,,365,"14,350.75",,"8,843.55",,
,,Repo,"-1,658.00",,"-1,658.00","645,140.05",
